Sample,gene,RNA,CpG
GSM2159855_GSM2186694,TRIP6,7.89608619738275,0.0453304634614222
GSM2159856_GSM2186695,TRIP6,7.29211091085121,0.04189030693583622
GSM2159857_GSM2186696,TRIP6,7.95737777547425,0.04082390099537943
GSM2159858_GSM2186697,TRIP6,7.83616338300847,0.047801326606937374
GSM2159859_GSM2186698,TRIP6,7.69925697254179,0.03833090396710335
GSM2159860_GSM2186699,TRIP6,7.91792635626492,0.05092964275044155
GSM2159861_GSM2186700,TRIP6,7.47390534683274,0.0549084293597562
GSM2159862_GSM2186701,TRIP6,7.00466970256982,0.05292741168609035
GSM2159863_GSM2186702,TRIP6,7.28341606442483,0.04966796282562615
GSM2159864_GSM2186703,TRIP6,7.44929507130998,0.04241156271701248
GSM2159865_GSM2186704,TRIP6,7.45822579985417,0.04764888175203577
GSM2159866_GSM2186705,TRIP6,7.93243601243517,0.045675966356454906
GSM2159867_GSM2186706,TRIP6,7.39707246125552,0.0469524523180013
GSM2159868_GSM2186707,TRIP6,6.74703555454615,0.04470184998493855
GSM2159869_GSM2186708,TRIP6,8.10105823525346,0.04140830834623688
GSM2159870_GSM2186709,TRIP6,8.41055560334487,0.0441345850933946
GSM2159871_GSM2186710,TRIP6,7.88448428212761,0.04706321144317585
GSM2159872_GSM2186711,TRIP6,7.59333605087003,0.04544933612084775
GSM2159873_GSM2186712,TRIP6,7.98894803868549,0.0403797858652475
GSM2159874_GSM2186713,TRIP6,7.46739484939259,0.04515268746813567
GSM2159875_GSM2186714,TRIP6,8.16813088594215,0.048299189363414374
GSM2159876_GSM2186715,TRIP6,7.72313071322059,0.04260292953005725
GSM2159877_GSM2186716,TRIP6,7.91655427508751,0.0427977239033111
GSM2159878_GSM2186717,TRIP6,8.0077072051851,0.0614346841584616
GSM2159879_GSM2186718,TRIP6,7.4315985035049,0.05398310088139632
GSM2159880_GSM2186719,TRIP6,7.40187842905869,0.043934478856695276
GSM2159881_GSM2186720,TRIP6,7.46131184909172,0.047531559825068924
GSM2159882_GSM2186721,TRIP6,7.35860183840883,0.04899172426728957
GSM2159883_GSM2186722,TRIP6,7.73777576444199,0.06538367142460093
GSM2159829_GSM2186668,UBC,14.4996522759447,0.43270162680624036
GSM2159830_GSM2186669,UBC,14.5888109605955,0.4407647272071225
GSM2159831_GSM2186670,UBC,14.5752033964877,0.40772464389256274
GSM2159832_GSM2186671,UBC,14.5074894242481,0.44824161710897886
GSM2159833_GSM2186672,UBC,14.6349841268289,0.4603936518202785
GSM2159834_GSM2186673,UBC,14.3148915149726,0.46430054899514134
GSM2159835_GSM2186674,UBC,14.5352736120846,0.4492052610052671
GSM2159836_GSM2186675,UBC,14.4405461620761,0.46088824036653603
